frame,t_s,t_b_s,a_p1_ok,a_p1_x_px,a_p1_y_px,a_p1_x_mm,a_p1_y_mm,a_p1_area,a_p2_ok,a_p2_x_px,a_p2_y_px,a_p2_x_mm,a_p2_y_mm,a_p2_area,b_p1_ok,b_p1_h_px,b_p1_z_px,b_p1_h_mm,b_p1_z_mm,b_p1_area,b_p2_ok,b_p2_h_px,b_p2_z_px,b_p2_h_mm,b_p2_z_mm,b_p2_area
261,3.467163,3.467163,1,693.379578,672.004700,74.787247,72.481773,10,1,989.485229,763.397156,106.724907,82.339272,130,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
263,3.500488,3.500488,1,679.866943,653.228149,73.329781,70.456551,3,1,968.180298,777.274170,104.426987,83.836029,122,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
265,3.533813,3.533813,1,671.000000,639.000000,72.373405,68.921913,1,1,945.978638,788.225098,102.032333,85.017189,130,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
268,3.567139,3.567139,1,661.000000,613.000000,71.294815,66.117584,1,1,923.378784,796.666504,99.594734,85.927673,119,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
270,3.600464,3.600464,1,655.000000,589.945435,70.647659,63.630939,2,1,899.807190,802.245239,97.052322,86.529388,115,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
272,3.633911,3.633911,0,0.000000,0.000000,0.000000,0.000000,0,1,875.532715,805.076111,94.434105,86.834724,122,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
276,3.667236,3.667236,0,0.000000,0.000000,0.000000,0.000000,0,1,852.592041,806.454224,91.959747,86.983368,122,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
278,3.700562,3.700562,0,0.000000,0.000000,0.000000,0.000000,0,1,828.276184,805.599243,89.337067,86.891151,122,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
280,3.733887,3.733887,0,0.000000,0.000000,0.000000,0.000000,0,1,804.955994,802.057190,86.821770,86.509109,131,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
281,3.767212,3.767212,0,0.000000,0.000000,0.000000,0.000000,0,1,781.711853,796.853516,84.314674,85.947838,121,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
285,3.800537,3.800537,0,0.000000,0.000000,0.000000,0.000000,0,1,759.014221,788.343750,81.866531,85.029991,131,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
288,3.833862,3.833862,0,0.000000,0.000000,0.000000,0.000000,0,1,736.861328,778.246277,79.477142,83.940880,124,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
291,3.867188,3.867188,0,0.000000,0.000000,0.000000,0.000000,0,1,716.968811,766.466675,77.331558,82.670341,132,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
292,3.900513,3.900513,0,0.000000,0.000000,0.000000,0.000000,0,1,697.686279,752.963745,75.251762,81.213936,126,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
294,3.933838,3.933838,0,0.000000,0.000000,0.000000,0.000000,0,1,680.506287,737.354004,73.398743,79.530281,126,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
298,3.967285,3.967285,0,0.000000,0.000000,0.000000,0.000000,0,1,663.322144,720.425964,71.545280,77.704437,128,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
300,4.000610,4.000610,0,0.000000,0.000000,0.000000,0.000000,0,1,648.510010,702.662964,69.947662,75.788544,128,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
302,4.033936,4.033936,1,1210.057007,787.516052,130.515564,84.940712,10,1,635.161011,683.665527,68.507851,73.739494,127,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
305,4.067261,4.067261,1,1200.194336,801.244263,129.451782,86.421425,11,1,622.864929,664.725708,67.181602,71.696671,126,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
