frame,t_s,t_b_s,a_p1_ok,a_p1_x_px,a_p1_y_px,a_p1_x_mm,a_p1_y_mm,a_p1_area,a_p2_ok,a_p2_x_px,a_p2_y_px,a_p2_x_mm,a_p2_y_mm,a_p2_area,b_p1_ok,b_p1_h_px,b_p1_z_px,b_p1_h_mm,b_p1_z_mm,b_p1_area,b_p2_ok,b_p2_h_px,b_p2_z_px,b_p2_h_mm,b_p2_z_mm,b_p2_area
142,2.707153,2.707153,1,823.123596,520.801392,88.781311,56.173130,136,1,521.969910,748.493958,56.299164,80.731827,365,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
145,2.740479,2.740479,1,829.623108,516.839294,89.482338,55.745781,130,1,504.577728,722.899048,54.423260,77.971184,361,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
147,2.773926,2.773926,1,833.059143,521.952393,89.852943,56.297276,125,1,489.058807,695.558289,52.749405,75.022232,363,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
151,2.807251,2.807251,1,830.227356,528.619934,89.547516,57.016430,146,1,475.701813,667.157166,51.308735,71.958923,373,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
153,2.840576,2.840576,1,825.673523,525.653015,89.056343,56.696423,128,1,465.279572,636.355835,50.184601,68.636719,374,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
157,2.873901,2.873901,1,823.023071,521.448669,88.770462,56.242943,155,1,458.054535,604.279724,49.405315,65.177017,391,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
161,2.907227,2.907227,1,820.454590,522.762756,88.493431,56.384682,154,1,454.048492,570.348511,48.973225,61.517231,393,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
163,2.940552,2.940552,1,816.848755,516.722473,88.104507,55.733181,142,1,452.796814,536.016052,48.838223,57.814163,392,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
166,2.973877,2.973877,1,818.365173,511.524353,88.268066,55.172516,154,1,455.060272,502.098053,49.082355,54.155804,392,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
169,3.007202,3.007202,1,819.597656,507.985870,88.401009,54.790859,128,1,460.564362,467.445496,49.676022,50.418213,384,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
172,3.040527,3.040527,1,823.978088,513.185547,88.873474,55.351688,125,1,469.147797,432.688263,50.601822,46.669334,398,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
174,3.073975,3.073975,1,822.033142,516.435242,88.663696,55.702198,149,1,481.739044,399.061310,51.959904,43.042362,383,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
178,3.107300,3.107300,1,817.669250,512.941650,88.193008,55.325386,137,1,497.224091,365.652283,53.630104,39.438900,390,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
182,3.140625,3.140625,1,819.193298,508.559052,88.357384,54.852684,144,1,516.675964,333.461487,55.728168,35.966831,392,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
184,3.173950,3.173950,1,824.806152,506.856964,88.962784,54.669098,139,1,539.388123,303.314362,58.177876,32.715191,391,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
186,3.207275,3.207275,1,826.699402,507.380066,89.166992,54.725517,130,1,564.772644,275.556152,60.915825,29.721218,404,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
191,3.240601,3.240601,1,831.219299,510.210846,89.654503,55.030846,129,1,594.282776,251.692825,64.098763,27.147343,395,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
193,3.273926,3.273926,1,832.978210,511.178741,89.844215,55.135239,134,1,625.131348,230.430405,67.426056,24.853998,400,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
195,3.307251,3.307251,1,834.124695,513.349792,89.967873,55.369408,119,1,657.866211,212.192047,70.956810,22.886827,408,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
199,3.340576,3.340576,1,834.387146,513.982239,89.996185,55.437626,135,1,692.912109,198.219177,74.736824,21.379726,407,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
201,3.374023,3.374023,1,833.401550,516.036926,89.889877,55.659241,150,1,730.217285,187.294891,78.760521,20.201445,410,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
205,3.407349,3.407349,1,833.856262,514.981506,89.938919,55.545406,129,1,768.078003,180.887039,82.844139,19.510300,412,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
209,3.440674,3.440674,1,834.282776,516.005554,89.984924,55.655857,128,1,805.887512,178.719833,86.922241,19.276546,405,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
211,3.473999,3.473999,1,837.099365,514.942017,90.288719,55.541142,117,1,843.926453,181.303818,91.025078,19.555252,404,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
213,3.507324,3.507324,1,836.383545,517.679749,90.211510,55.836430,115,1,880.750854,187.851532,94.996933,20.261482,405,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
217,3.540649,3.540649,1,834.407410,521.608826,89.998367,56.260220,130,1,916.574280,198.476395,98.860809,21.407471,401,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
219,3.573975,3.573975,1,831.646912,523.542236,89.700623,56.468754,117,1,951.309448,212.179138,102.607307,22.885435,401,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
223,3.607300,3.607300,1,827.911682,524.437012,89.297745,56.565262,138,1,984.855164,230.278580,106.225517,24.837624,394,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
226,3.640625,3.640625,1,824.741882,523.929626,88.955856,56.510540,148,1,1016.412598,252.433121,109.629272,27.227190,408,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
228,3.674072,3.674072,1,823.004822,525.247009,88.768494,56.652630,144,1,1044.623291,277.568390,112.672050,29.938257,402,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
232,3.707397,3.707397,1,823.703430,524.215698,88.843842,56.541393,148,1,1068.055542,303.629578,115.199425,32.749187,365,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
234,3.740723,3.740723,1,825.057556,527.666443,88.989899,56.913586,130,1,1086.298706,328.605103,117.167122,35.443027,365,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
236,3.774048,3.774048,1,822.717834,526.111572,88.737541,56.745876,148,1,1102.827881,354.789978,118.949936,38.267300,365,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
238,3.807373,3.807373,1,818.297913,523.464844,88.260811,56.460403,164,1,1116.422607,382.585236,120.416245,41.265270,362,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
