frame_idx,timestamp_s,intervalo_ms
180,36248.132469,32.021892999182455
181,36248.164606,32.137128997419495
182,36248.200483,35.87643000355456
183,36248.232483,32.00062399992021
184,36248.264497,32.01411700138124
185,36248.300461,35.963374000857584
186,36248.331910,31.449368994799443
187,36248.364626,32.71580499858828
188,36248.400512,35.886018005840015
189,36248.432498,31.986326997866854
190,36248.464536,32.03783299977658
191,36248.500060,35.524318998795934
192,36248.532515,32.454134001454804
193,36248.564531,32.0159920011065
194,36248.600430,35.89935299532954
195,36248.632457,32.02754400263075
196,36248.664463,32.00590200140141
197,36248.700451,35.98790999967605
198,36248.732501,32.04998600267572
