frame,t_s,t_b_s,a_p1_ok,a_p1_x_px,a_p1_y_px,a_p1_x_mm,a_p1_y_mm,a_p1_area,a_p2_ok,a_p2_x_px,a_p2_y_px,a_p2_x_mm,a_p2_y_mm,a_p2_area,b_p1_ok,b_p1_h_px,b_p1_z_px,b_p1_h_mm,b_p1_z_mm,b_p1_area,b_p2_ok,b_p2_h_px,b_p2_z_px,b_p2_h_mm,b_p2_z_mm,b_p2_area
192,3.288452,3.288452,1,658.872742,835.373230,71.065369,90.102539,100,1,822.564392,519.415894,88.720993,56.023689,67,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
195,3.321777,3.321777,1,635.335815,824.306091,68.526703,88.908852,93,1,823.456299,518.542786,88.817192,55.929520,63,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
199,3.355103,3.355103,1,612.761963,811.416626,66.091904,87.518600,96,1,823.768250,518.119446,88.850838,55.883862,61,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
202,3.388550,3.388550,1,591.449463,797.797852,63.793163,86.049698,100,1,825.957214,518.255249,89.086937,55.898506,63,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
204,3.421875,3.421875,1,571.192993,782.795349,61.608315,84.431541,95,1,826.282471,517.423645,89.122025,55.808811,62,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
208,3.455200,3.455200,1,552.052124,766.666138,59.543804,82.691864,97,1,825.640320,514.097961,89.052757,55.450108,60,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
211,3.488525,3.488525,1,534.150513,748.652222,57.612949,80.748894,88,1,824.075500,513.725281,88.883980,55.409908,60,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
214,3.521851,3.521851,1,518.164307,730.299194,55.888695,78.769356,87,1,822.681763,512.830750,88.733650,55.313427,54,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
216,3.555176,3.555176,1,504.008606,711.626099,54.361877,76.755302,90,1,822.490173,513.063782,88.712982,55.338554,50,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
219,3.588501,3.588501,1,490.969666,690.728455,52.955509,74.501297,95,1,823.850464,512.179260,88.859703,55.243153,61,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
223,3.621826,3.621826,1,479.697815,670.366821,51.739738,72.305107,90,1,822.696899,512.470581,88.735283,55.274574,51,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
226,3.655151,3.655151,1,469.054352,648.327942,50.591743,69.928017,87,1,824.680542,510.542267,88.949242,55.066589,51,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
229,3.688477,3.688477,1,460.590942,626.966797,49.678890,67.624031,91,1,824.928711,512.180725,88.976006,55.243313,46,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
231,3.721924,3.721924,1,453.514954,605.277039,48.915680,65.284592,96,1,828.220032,511.274353,89.331001,55.145554,53,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
234,3.755249,3.755249,1,447.750549,582.855408,48.293938,62.866215,89,1,830.180969,509.464752,89.542511,54.950371,37,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
238,3.788574,3.788574,1,444.442596,560.685120,47.937145,60.474949,94,1,833.796387,509.432739,89.932465,54.946918,33,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
240,3.821899,3.821899,1,441.996643,538.224121,47.673328,58.052326,96,1,837.661194,506.921509,90.349319,54.676060,36,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
243,3.855225,3.855225,1,441.413116,515.408386,47.610390,55.591442,95,1,839.015076,505.215820,90.495346,54.492085,31,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
247,3.888550,3.888550,1,441.615173,491.918030,47.632183,53.057796,85,1,839.083801,501.832733,90.502762,54.127190,21,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
250,3.921875,3.921875,1,442.945435,469.691925,47.775661,50.660515,90,1,834.148743,502.171997,89.970467,54.163780,36,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
253,5.095825,5.095825,1,445.680969,447.277161,48.070717,48.242878,86,1,831.146484,504.159027,89.646645,54.378098,39,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
255,5.129150,5.129150,1,450.852325,425.003784,48.628490,45.840492,91,1,829.452271,506.346375,89.463913,54.614025,41,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
259,5.162476,5.162476,1,456.906158,403.097229,49.281452,43.477673,75,1,831.346191,508.614532,89.668190,54.858665,30,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
261,5.195801,5.195801,1,465.007507,381.470551,50.155254,41.145042,73,1,831.622070,509.634064,89.697945,54.968632,28,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
265,5.229126,5.229126,1,474.483673,359.169586,51.177345,38.739681,71,1,831.100647,509.060364,89.641701,54.906754,25,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
267,5.262451,5.262451,1,484.268005,339.393890,52.232674,36.606693,80,1,828.471313,508.635559,89.358109,54.860935,22,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
270,5.295776,5.295776,1,496.383881,318.964203,53.539482,34.403168,79,1,829.920837,510.910980,89.514450,55.106358,24,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
274,5.329102,5.329102,1,509.929901,298.684448,55.000542,32.215813,81,1,826.440796,510.905365,89.139099,55.105755,44,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
277,5.362427,5.362427,1,524.958496,279.440369,56.621513,30.140167,82,1,826.002441,511.424042,89.091820,55.161697,44,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
280,5.395752,5.395752,1,540.938599,261.597961,58.345112,28.215700,84,1,825.003174,513.282959,88.984039,55.362198,37,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
283,5.429199,5.429199,1,559.346741,244.113770,60.330593,26.329872,84,1,825.295593,511.504089,89.015579,55.170334,45,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
285,5.462524,5.462524,1,578.887451,227.310959,62.438236,24.517538,85,1,824.955566,510.211182,88.978905,55.030880,32,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
