frame,t_s,xc_px,yc_px,xc_mm,yc_mm,seguido,area_px
149,4.73972,665.546,330.538,127.1662,63.1560,1,277
150,4.76997,664.829,330.904,127.0292,63.2260,1,280
151,4.79906,664.160,331.319,126.9013,63.3052,1,278
152,4.84253,663.004,331.983,126.6805,63.4321,1,280
153,4.88696,661.814,332.652,126.4531,63.5600,1,279
154,4.91869,660.998,333.027,126.2972,63.6315,1,279
155,4.95016,660.167,333.428,126.1384,63.7083,1,280
156,4.98085,659.343,333.975,125.9809,63.8128,1,280
157,5.01254,658.448,334.459,125.8100,63.9052,1,280
158,5.04428,657.584,334.913,125.6449,63.9920,1,277
159,5.07512,656.689,335.388,125.4739,64.0827,1,280
160,5.10675,655.776,335.860,125.2994,64.1729,1,278
161,5.13853,654.844,336.368,125.1213,64.2700,1,278
162,5.16994,653.895,336.864,124.9400,64.3648,1,280
163,5.20235,652.979,337.426,124.7650,64.4722,1,279
164,5.23381,652.020,337.925,124.5819,64.5674,1,280
165,5.26413,651.093,338.407,124.4047,64.6596,1,279
166,5.29606,650.113,338.918,124.2174,64.7572,1,280
167,5.32789,649.140,339.445,124.0315,64.8579,1,279
168,5.35932,648.239,340.010,123.8593,64.9658,1,281
169,5.39567,647.137,340.624,123.6488,65.0832,1,279
170,5.42995,646.100,341.213,123.4506,65.1957,1,280
171,5.45936,645.145,341.695,123.2682,65.2878,1,279
172,5.49098,644.137,342.276,123.0756,65.3989,1,281
173,5.52329,643.135,342.828,122.8840,65.5044,1,282
174,5.55789,642.032,343.492,122.6733,65.6312,1,280
175,5.59206,640.983,344.107,122.4729,65.7487,1,280
176,5.62322,639.992,344.638,122.2835,65.8502,1,280
177,5.65421,639.000,345.245,122.0941,65.9660,1,279
178,5.68627,638.016,345.801,121.9059,66.0723,1,284
179,5.71910,637.014,346.432,121.7146,66.1929,1,279
180,5.74787,636.067,346.943,121.5336,66.2906,1,281
181,5.77672,635.164,347.442,121.3610,66.3859,1,279
182,5.80858,634.219,348.079,121.1805,66.5076,1,281
183,5.83935,633.210,348.646,120.9878,66.6159,1,281
184,5.87066,632.243,349.249,120.8030,66.7312,1,278
185,5.91105,630.988,350.045,120.5632,66.8832,1,279
186,5.95096,629.773,350.776,120.3311,67.0229,1,279
187,5.98284,628.865,351.381,120.1576,67.1386,1,280
188,6.01459,627.914,351.991,119.9759,67.2551,1,281
189,6.04560,626.988,352.594,119.7989,67.3702,1,279
190,6.07899,625.955,353.249,119.6016,67.4954,1,278
191,6.11217,624.975,353.835,119.4142,67.6074,1,282
192,6.14299,624.131,354.446,119.2530,67.7241,1,279
193,6.17461,623.261,355.079,119.0869,67.8452,1,280
194,6.20613,622.318,355.684,118.9067,67.9608,1,282
195,6.23605,621.449,356.273,118.7405,68.0733,1,282
196,6.26679,620.617,356.862,118.5815,68.1858,1,278
197,6.29865,619.765,357.539,118.4187,68.3151,1,281
198,6.33047,618.881,358.149,118.2499,68.4317,1,279
199,6.36155,618.020,358.719,118.0854,68.5407,1,282
200,6.39229,617.281,359.357,117.9441,68.6625,1,280
201,6.42381,616.477,359.978,117.7905,68.7813,1,278
202,6.45604,615.695,360.618,117.6411,68.9035,1,277
203,6.49043,614.848,361.301,117.4792,69.0339,1,280
204,6.52450,613.943,361.897,117.3064,69.1478,1,280
205,6.55810,613.110,362.547,117.1472,69.2720,1,281
206,6.59160,612.368,363.247,117.0055,69.4059,1,279
207,6.62397,611.704,363.836,116.8787,69.5183,1,278
208,6.65636,610.954,364.513,116.7353,69.6477,1,281
209,6.68794,610.288,365.160,116.6081,69.7712,1,279
210,6.71874,609.695,365.732,116.4948,69.8806,1,282
211,6.74966,609.100,366.337,116.3809,69.9961,1,280
212,6.78075,608.460,366.952,116.2587,70.1137,1,281
213,6.81103,607.826,367.583,116.1377,70.2343,1,278
214,6.84126,607.278,368.132,116.0329,70.3392,1,279
215,6.87144,606.753,368.670,115.9326,70.4420,1,280
216,6.90001,606.256,369.250,115.8377,70.5527,1,279
217,6.92867,605.783,369.798,115.7473,70.6575,1,280
218,6.95701,605.326,370.321,115.6599,70.7574,1,279
219,6.99977,604.662,371.140,115.5331,70.9139,1,278
220,7.04466,604.037,371.976,115.4136,71.0736,1,281
221,7.07685,603.634,372.582,115.3366,71.1895,1,280
222,7.10900,603.214,373.178,115.2563,71.3034,1,280
223,7.14059,602.799,373.744,115.1771,71.4115,1,281
224,7.17251,602.430,374.350,115.1066,71.5272,1,281
225,7.21551,602.041,375.132,115.0323,71.6767,1,282
226,7.25688,601.668,375.842,114.9610,71.8124,1,280
227,7.28584,601.351,376.365,114.9004,71.9123,1,279
228,7.31151,601.130,376.867,114.8583,72.0083,1,280
229,7.33313,601.015,377.268,114.8362,72.0848,1,280
230,7.35439,600.875,377.641,114.8094,72.1561,1,278
231,7.37601,600.738,377.973,114.7833,72.2195,1,281
232,7.39698,600.638,378.347,114.7643,72.2909,1,281
233,7.41738,600.525,378.747,114.7426,72.3673,1,282
234,7.44120,600.354,379.144,114.7099,72.4432,1,279
235,7.46724,600.262,379.601,114.6923,72.5305,1,281
236,7.49049,600.218,379.978,114.6839,72.6026,1,281
237,7.51250,600.110,380.351,114.6634,72.6739,1,281
238,7.53467,600.065,380.715,114.6547,72.7434,1,280
239,7.55705,600.049,381.067,114.6516,72.8106,1,281
240,7.58244,600.009,381.498,114.6441,72.8929,1,277
241,7.60984,599.997,381.976,114.6417,72.9843,1,277
242,7.63491,599.997,382.396,114.6416,73.0646,1,278
243,7.65693,600.004,382.691,114.6431,73.1210,1,280
244,7.67981,600.004,383.078,114.6430,73.1949,1,282
245,7.70634,600.025,383.523,114.6470,73.2800,1,277
246,7.73365,600.080,383.986,114.6576,73.3684,1,278
247,7.75734,600.153,384.391,114.6715,73.4457,1,279
248,7.77902,600.278,384.704,114.6955,73.5056,1,281
249,7.80201,600.404,384.983,114.7195,73.5589,1,280
250,7.82603,600.524,385.335,114.7424,73.6261,1,279
251,7.84901,600.596,385.752,114.7561,73.7058,1,282
252,7.87058,600.706,386.059,114.7771,73.7644,1,280
253,7.89401,600.874,386.379,114.8093,73.8257,1,282
254,7.91723,601.042,386.704,114.8414,73.8878,1,279
255,7.93865,601.224,386.998,114.8762,73.9439,1,279
256,7.96131,601.343,387.370,114.8990,74.0150,1,281
257,7.98512,601.512,387.751,114.9312,74.0879,1,281
258,8.00880,601.749,388.066,114.9766,74.1479,1,279
259,8.03190,601.980,388.376,115.0206,74.2071,1,280
260,8.05547,602.251,388.727,115.0723,74.2743,1,279
261,8.08020,602.497,389.011,115.1193,74.3285,1,280
