frame,t_s,t_b_s,a_ok,a_x_px,a_y_px,a_x_mm,a_y_mm,a_area,b_ok,b_h_px,b_z_px,b_h_mm,b_z_mm,b_area
109,3.367188,3.367188,1,741.000000,201.000000,95.809273,25.988750,1,0,0.000000,0.000000,0.000000,0.000000,0
110,3.400635,3.400635,1,754.742859,191.878571,97.586189,24.809374,9,0,0.000000,0.000000,0.000000,0.000000,0
111,3.433838,3.433838,1,758.016968,187.983047,98.009514,24.305695,2,0,0.000000,0.000000,0.000000,0.000000,0
112,3.467285,3.467285,1,769.000000,183.966660,99.429596,23.786386,2,0,0.000000,0.000000,0.000000,0.000000,0
113,3.500732,3.500732,1,781.487793,179.032516,101.044235,23.148415,4,0,0.000000,0.000000,0.000000,0.000000,0
114,3.533936,3.533936,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
116,3.567383,3.567383,1,801.000000,175.000000,103.567108,22.627022,1,0,0.000000,0.000000,0.000000,0.000000,0
117,3.600586,3.600586,1,815.681824,165.659088,105.465424,21.419268,3,0,0.000000,0.000000,0.000000,0.000000,0
118,3.634033,3.634033,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
119,3.667236,3.667236,1,841.000000,161.000000,108.738998,20.816860,1,0,0.000000,0.000000,0.000000,0.000000,0
120,3.700684,3.700684,1,851.528992,163.608688,110.100365,21.154156,9,0,0.000000,0.000000,0.000000,0.000000,0
122,3.733887,3.733887,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
123,3.767334,3.767334,1,874.000000,163.000000,113.005806,21.075455,2,0,0.000000,0.000000,0.000000,0.000000,0
124,3.800781,3.800781,1,882.000000,162.000000,114.040184,20.946157,2,0,0.000000,0.000000,0.000000,0.000000,0
126,3.833984,3.833984,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
127,3.867432,3.867432,1,911.451599,169.851608,117.848198,21.961349,5,0,0.000000,0.000000,0.000000,0.000000,0
128,3.900635,3.900635,1,925.171204,170.189972,119.622101,22.005098,15,0,0.000000,0.000000,0.000000,0.000000,0
129,3.934082,3.934082,1,939.000000,175.000000,121.410133,22.627022,1,0,0.000000,0.000000,0.000000,0.000000,0
131,3.967285,3.967285,1,950.589050,177.808212,122.908562,22.990116,5,0,0.000000,0.000000,0.000000,0.000000,0
132,4.000732,4.000732,1,962.431274,180.734604,124.439728,23.368488,7,0,0.000000,0.000000,0.000000,0.000000,0
133,4.033936,4.033936,1,972.420471,184.607956,125.731300,23.869303,11,0,0.000000,0.000000,0.000000,0.000000,0
134,4.067383,4.067383,1,983.536987,190.805450,127.168640,24.670622,16,0,0.000000,0.000000,0.000000,0.000000,0
136,4.100586,4.100586,1,995.309448,194.644699,128.690781,25.167027,11,0,0.000000,0.000000,0.000000,0.000000,0
137,4.134033,4.134033,1,1005.991455,201.000000,130.071945,25.988750,4,0,0.000000,0.000000,0.000000,0.000000,0
138,4.167480,4.167480,1,1014.600952,207.769226,131.185120,26.863993,13,0,0.000000,0.000000,0.000000,0.000000,0
139,4.200684,4.200684,1,1029.000000,215.000000,133.046890,27.798912,1,0,0.000000,0.000000,0.000000,0.000000,0
141,4.234131,4.234131,1,1038.019531,223.289688,134.213074,28.870747,11,0,0.000000,0.000000,0.000000,0.000000,0
142,4.267334,4.267334,1,1047.000000,228.882355,135.374237,29.593863,3,0,0.000000,0.000000,0.000000,0.000000,0
143,4.300781,4.300781,1,1054.051270,236.743591,136.285950,30.610298,10,0,0.000000,0.000000,0.000000,0.000000,0
145,4.367432,4.367432,1,1070.376343,248.354843,138.396729,32.111599,3,0,0.000000,0.000000,0.000000,0.000000,0
147,4.400635,4.400635,1,1079.991577,260.983185,139.639954,33.744411,4,0,0.000000,0.000000,0.000000,0.000000,0
148,4.434082,4.434082,1,911.000000,429.064514,117.789810,55.476868,3,0,0.000000,0.000000,0.000000,0.000000,0
149,4.467529,4.467529,1,1095.487427,275.504211,141.643524,35.621941,4,0,0.000000,0.000000,0.000000,0.000000,0
150,4.500732,4.500732,1,1101.543213,288.957886,142.426514,37.361465,15,0,0.000000,0.000000,0.000000,0.000000,0
151,4.534180,4.534180,1,1105.760010,297.786652,142.971741,38.503002,5,0,0.000000,0.000000,0.000000,0.000000,0
152,4.567383,4.567383,1,1114.333374,306.333344,144.080246,39.608063,3,0,0.000000,0.000000,0.000000,0.000000,0
153,4.600830,4.600830,1,1119.832275,313.347839,144.791245,40.515015,5,0,0.000000,0.000000,0.000000,0.000000,0
154,4.634033,4.634033,1,1123.975586,320.951233,145.326965,41.498116,4,0,0.000000,0.000000,0.000000,0.000000,0
155,4.667480,4.667480,1,1129.033447,328.298706,145.980927,42.448124,16,0,0.000000,0.000000,0.000000,0.000000,0
156,4.700684,4.700684,1,1132.358398,333.754272,146.410843,43.153515,18,0,0.000000,0.000000,0.000000,0.000000,0
157,4.734131,4.734131,1,1138.133911,344.563873,147.157608,44.551163,10,0,0.000000,0.000000,0.000000,0.000000,0
158,4.767578,4.767578,1,1143.575317,353.054810,147.861160,45.649017,7,0,0.000000,0.000000,0.000000,0.000000,0
159,4.800781,4.800781,1,1148.104126,361.175201,148.446716,46.698967,17,0,0.000000,0.000000,0.000000,0.000000,0
160,4.834229,4.834229,1,1152.975708,372.824249,149.076614,48.205154,10,0,0.000000,0.000000,0.000000,0.000000,0
161,4.867432,4.867432,1,1157.041626,383.416656,149.602325,49.574726,6,0,0.000000,0.000000,0.000000,0.000000,0
162,4.900879,4.900879,1,1161.372803,391.346497,150.162323,50.600029,14,0,0.000000,0.000000,0.000000,0.000000,0
163,4.934082,4.934082,1,1166.000000,403.000000,150.760605,52.106796,2,0,0.000000,0.000000,0.000000,0.000000,0
164,4.967529,4.967529,1,1166.351318,410.989197,150.806030,53.139778,12,0,0.000000,0.000000,0.000000,0.000000,0
165,5.000732,5.000732,1,1170.445190,418.936890,151.335358,54.167393,17,0,0.000000,0.000000,0.000000,0.000000,0
166,5.034180,5.034180,1,1173.046021,427.895142,151.671646,55.325672,12,0,0.000000,0.000000,0.000000,0.000000,0
167,5.067627,5.067627,1,1175.651123,435.984985,152.008469,56.371662,17,0,0.000000,0.000000,0.000000,0.000000,0
168,5.100830,5.100830,1,1177.333374,448.729736,152.225983,58.019527,7,0,0.000000,0.000000,0.000000,0.000000,0
169,5.134277,5.134277,1,1180.665894,455.228577,152.656876,58.859810,14,0,0.000000,0.000000,0.000000,0.000000,0
170,5.167480,5.167480,1,1182.069580,464.069580,152.838364,60.002926,15,0,0.000000,0.000000,0.000000,0.000000,0
171,5.200928,5.200928,1,1183.168335,476.375763,152.980438,61.594082,15,0,0.000000,0.000000,0.000000,0.000000,0
172,5.234131,5.234131,1,1184.741333,486.001831,153.183807,62.838707,16,0,0.000000,0.000000,0.000000,0.000000,0
173,5.267578,5.267578,1,1184.640503,495.610474,153.170761,64.081078,16,0,0.000000,0.000000,0.000000,0.000000,0
174,5.300781,5.300781,1,1185.707397,506.838409,153.308716,65.532822,17,0,0.000000,0.000000,0.000000,0.000000,0
175,5.334229,5.334229,1,1186.303711,513.696350,153.385818,66.419525,16,0,0.000000,0.000000,0.000000,0.000000,0
176,5.367676,5.367676,1,1186.333374,523.173462,153.389648,67.644897,11,0,0.000000,0.000000,0.000000,0.000000,0
177,5.400879,5.400879,1,1189.000000,531.978699,153.734451,68.783394,4,0,0.000000,0.000000,0.000000,0.000000,0
178,5.434326,5.434326,1,1185.423828,541.834412,153.272064,70.057709,10,0,0.000000,0.000000,0.000000,0.000000,0
179,5.467529,5.467529,1,907.000000,435.967743,117.272621,56.369434,2,0,0.000000,0.000000,0.000000,0.000000,0
180,5.500977,5.500977,1,907.000000,435.892303,117.272621,56.359684,2,0,0.000000,0.000000,0.000000,0.000000,0
181,5.534180,5.534180,1,1181.298096,565.031372,152.738602,73.057007,8,0,0.000000,0.000000,0.000000,0.000000,0
182,5.567627,5.567627,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
183,5.600830,5.600830,1,1177.000000,586.033325,152.182877,75.772507,2,0,0.000000,0.000000,0.000000,0.000000,0
184,5.634277,5.634277,1,1171.645874,593.645813,151.490601,76.756783,3,0,0.000000,0.000000,0.000000,0.000000,0
185,5.667725,5.667725,1,1170.635376,601.677063,151.359955,77.795197,6,0,0.000000,0.000000,0.000000,0.000000,0
186,5.700928,5.700928,1,1165.313354,610.744324,150.671829,78.967567,15,0,0.000000,0.000000,0.000000,0.000000,0
187,5.734375,5.734375,1,1162.621460,615.040222,150.323776,79.523018,18,0,0.000000,0.000000,0.000000,0.000000,0
188,5.767578,5.767578,1,1158.739380,623.260620,149.821823,80.585892,22,0,0.000000,0.000000,0.000000,0.000000,0
189,5.801025,5.801025,1,1156.548950,628.832336,149.538620,81.306305,22,0,0.000000,0.000000,0.000000,0.000000,0
190,5.834229,5.834229,1,1152.612915,635.562195,149.029694,82.176453,13,0,0.000000,0.000000,0.000000,0.000000,0
191,5.867676,5.867676,1,1149.554199,643.463501,148.634201,83.198067,12,0,0.000000,0.000000,0.000000,0.000000,0
192,5.900879,5.900879,1,1144.496582,650.722961,147.980286,84.136696,18,0,0.000000,0.000000,0.000000,0.000000,0
193,5.934326,5.934326,1,1139.887817,657.000000,147.384384,84.948303,18,0,0.000000,0.000000,0.000000,0.000000,0
194,5.967773,5.967773,1,1136.312988,663.216064,146.922165,85.752022,11,0,0.000000,0.000000,0.000000,0.000000,0
195,6.000977,6.000977,1,1132.019531,669.526855,146.367020,86.567986,12,0,0.000000,0.000000,0.000000,0.000000,0
196,6.034424,6.034424,1,1128.890381,674.077393,145.962433,87.156364,18,0,0.000000,0.000000,0.000000,0.000000,0
197,6.067627,6.067627,1,1124.651001,680.040405,145.414307,87.927361,17,0,0.000000,0.000000,0.000000,0.000000,0
198,6.101074,6.101074,1,1120.589233,684.267883,144.889130,88.473961,10,0,0.000000,0.000000,0.000000,0.000000,0
199,6.134277,6.134277,1,1116.583008,690.583008,144.371124,89.290489,14,0,0.000000,0.000000,0.000000,0.000000,0
200,6.167725,6.167725,1,1112.537109,695.011230,143.848007,89.863045,20,0,0.000000,0.000000,0.000000,0.000000,0
201,6.200928,6.200928,1,1109.939575,699.063782,143.512146,90.387032,16,0,0.000000,0.000000,0.000000,0.000000,0
202,6.234375,6.234375,1,1104.247437,706.031189,142.776169,91.287903,14,0,0.000000,0.000000,0.000000,0.000000,0
203,6.267578,6.267578,1,1100.195679,708.523132,142.252289,91.610100,14,0,0.000000,0.000000,0.000000,0.000000,0
204,6.301025,6.301025,1,1096.013062,713.793274,141.711487,92.291519,15,0,0.000000,0.000000,0.000000,0.000000,0
205,6.334473,6.334473,1,1092.164185,718.598511,141.213852,92.912827,16,0,0.000000,0.000000,0.000000,0.000000,0
206,6.367676,6.367676,1,1086.429810,722.340759,140.472412,93.396683,12,0,0.000000,0.000000,0.000000,0.000000,0
207,6.401123,6.401123,1,1082.061646,724.471191,139.907608,93.672142,14,0,0.000000,0.000000,0.000000,0.000000,0
208,6.434326,6.434326,1,1077.000000,729.938232,139.253159,94.379013,11,0,0.000000,0.000000,0.000000,0.000000,0
209,6.467773,6.467773,1,1072.787354,731.385193,138.708466,94.566109,18,0,0.000000,0.000000,0.000000,0.000000,0
210,6.500977,6.500977,1,1068.618896,733.893311,138.169495,94.890396,18,0,0.000000,0.000000,0.000000,0.000000,0
211,6.534424,6.534424,1,1063.126709,737.593323,137.459366,95.368797,16,0,0.000000,0.000000,0.000000,0.000000,0
212,6.567627,6.567627,1,1057.954590,739.214294,136.790634,95.578384,17,0,0.000000,0.000000,0.000000,0.000000,0
213,6.601074,6.601074,1,1053.043823,742.055969,136.155685,95.945808,12,0,0.000000,0.000000,0.000000,0.000000,0
214,6.634521,6.634521,1,1047.570557,745.532776,135.448013,96.395348,18,0,0.000000,0.000000,0.000000,0.000000,0
215,6.667725,6.667725,1,1041.827759,748.047241,134.705475,96.720459,20,0,0.000000,0.000000,0.000000,0.000000,0
216,6.701172,6.701172,1,1037.094238,751.430298,134.093445,97.157883,15,0,0.000000,0.000000,0.000000,0.000000,0
217,6.734375,6.734375,1,1030.615845,754.018311,133.255814,97.492500,10,0,0.000000,0.000000,0.000000,0.000000,0
218,6.767822,6.767822,1,1025.008057,754.692322,132.530746,97.579651,21,0,0.000000,0.000000,0.000000,0.000000,0
219,6.801025,6.801025,1,1019.992615,757.007385,131.882248,97.878983,16,0,0.000000,0.000000,0.000000,0.000000,0
220,6.834473,6.834473,1,1013.739746,758.620361,131.073776,98.087532,14,0,0.000000,0.000000,0.000000,0.000000,0
221,6.867676,6.867676,1,1007.546204,759.072266,130.272964,98.145966,14,0,0.000000,0.000000,0.000000,0.000000,0
222,6.901123,6.901123,1,1000.610046,760.484253,129.376144,98.328537,14,0,0.000000,0.000000,0.000000,0.000000,0
223,6.934570,6.934570,1,995.616577,763.219666,128.730499,98.682213,15,0,0.000000,0.000000,0.000000,0.000000,0
224,6.967773,6.967773,1,989.208679,763.866150,127.901970,98.765800,15,0,0.000000,0.000000,0.000000,0.000000,0
225,7.001221,7.001221,1,980.798523,766.229614,126.814568,99.071396,19,0,0.000000,0.000000,0.000000,0.000000,0
226,7.034424,7.034424,1,974.055115,767.654663,125.942657,99.255646,24,0,0.000000,0.000000,0.000000,0.000000,0
227,7.067871,7.067871,1,966.911072,768.357056,125.018951,99.346466,23,0,0.000000,0.000000,0.000000,0.000000,0
228,7.101074,7.101074,1,960.032959,769.559875,124.129631,99.501984,20,0,0.000000,0.000000,0.000000,0.000000,0
229,7.134521,7.134521,1,953.374817,768.691345,123.268753,99.389687,18,0,0.000000,0.000000,0.000000,0.000000,0
230,7.167725,7.167725,1,945.146851,768.818726,122.204903,99.406158,18,0,0.000000,0.000000,0.000000,0.000000,0
231,7.201172,7.201172,1,938.420837,769.305298,121.335243,99.469070,19,0,0.000000,0.000000,0.000000,0.000000,0
232,7.234619,7.234619,1,929.697510,768.416382,120.207344,99.354134,16,0,0.000000,0.000000,0.000000,0.000000,0
233,7.267822,7.267822,1,922.280151,768.086060,119.248299,99.311424,17,0,0.000000,0.000000,0.000000,0.000000,0
234,7.301270,7.301270,1,914.363831,767.799988,118.224739,99.274437,15,0,0.000000,0.000000,0.000000,0.000000,0
235,7.334473,7.334473,1,906.813599,767.143799,117.248512,99.189598,21,0,0.000000,0.000000,0.000000,0.000000,0
236,7.367920,7.367920,1,897.481323,766.423950,116.041878,99.096519,21,0,0.000000,0.000000,0.000000,0.000000,0
237,7.401123,7.401123,1,888.059204,765.201599,114.823624,98.938469,17,0,0.000000,0.000000,0.000000,0.000000,0
238,7.434570,7.434570,1,879.322998,762.621094,113.694054,98.604820,10,0,0.000000,0.000000,0.000000,0.000000,0
239,7.467773,7.467773,1,871.209595,761.329346,112.645012,98.437798,10,0,0.000000,0.000000,0.000000,0.000000,0
240,7.501221,7.501221,1,862.779297,759.855164,111.555000,98.247192,9,0,0.000000,0.000000,0.000000,0.000000,0
241,7.534668,7.534668,1,854.665405,756.204468,110.505898,97.775169,16,0,0.000000,0.000000,0.000000,0.000000,0
242,7.567871,7.567871,1,845.000000,752.783508,109.256187,97.332848,12,0,0.000000,0.000000,0.000000,0.000000,0
243,7.601318,7.601318,1,838.433167,750.194763,108.407112,96.998131,19,0,0.000000,0.000000,0.000000,0.000000,0
244,7.634521,7.634521,1,828.954712,746.439026,107.181572,96.512520,17,0,0.000000,0.000000,0.000000,0.000000,0
245,7.667969,7.667969,1,820.792603,742.422241,106.126236,95.993164,8,0,0.000000,0.000000,0.000000,0.000000,0
246,7.701172,7.701172,1,810.298218,737.028076,104.769348,95.295715,9,0,0.000000,0.000000,0.000000,0.000000,0
247,7.734619,7.734619,1,803.102539,734.107666,103.838966,94.918114,16,0,0.000000,0.000000,0.000000,0.000000,0
248,7.767822,7.767822,1,794.461365,728.642395,102.721680,94.211464,14,0,0.000000,0.000000,0.000000,0.000000,0
249,7.801270,7.801270,1,787.036377,723.243652,101.761650,93.513420,16,0,0.000000,0.000000,0.000000,0.000000,0
