frame,t_s,t_b_s,a_p1_ok,a_p1_x_px,a_p1_y_px,a_p1_x_mm,a_p1_y_mm,a_p1_area,a_p2_ok,a_p2_x_px,a_p2_y_px,a_p2_x_mm,a_p2_y_mm,a_p2_area,b_p1_ok,b_p1_h_px,b_p1_z_px,b_p1_h_mm,b_p1_z_mm,b_p1_area,b_p2_ok,b_p2_h_px,b_p2_z_px,b_p2_h_mm,b_p2_z_mm,b_p2_area
112,1.233521,1.233521,1,630.140259,906.092651,67.966316,97.730263,140,1,809.460632,523.374146,87.307640,56.450626,77,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
116,1.266846,1.266846,1,608.539795,897.849548,65.636513,96.841179,139,1,812.046387,520.134521,87.586533,56.101204,55,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
118,1.300171,1.300171,1,587.836609,887.516724,63.403481,95.726685,144,1,812.690552,518.232056,87.656013,55.896004,82,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
121,1.333496,1.333496,1,567.157532,876.446838,61.173058,94.532700,141,1,811.660095,517.013794,87.544868,55.764603,104,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
123,1.366882,1.366882,1,547.360718,865.128235,59.037788,93.311890,137,1,812.537415,517.237793,87.639488,55.788761,84,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
128,1.400208,1.400208,1,527.767273,852.134033,56.924465,91.910339,139,1,813.525513,519.997192,87.746071,56.086388,75,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
130,1.433533,1.433533,1,509.322357,838.470581,54.935013,90.436615,139,1,812.475647,521.270874,87.632828,56.223766,87,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
134,1.466858,1.466858,1,491.955780,823.819519,53.061871,88.856369,128,1,812.693115,519.624451,87.656288,56.046185,75,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
136,1.500244,1.500244,1,474.703491,807.897400,51.201057,87.139030,130,1,812.589722,519.228210,87.645134,56.003448,97,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
139,1.533569,1.533569,1,459.026184,790.743591,49.510117,85.288834,129,1,807.951599,516.539612,87.144867,55.713455,93,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
143,1.566895,1.566895,1,444.708374,773.826599,47.965809,83.464180,139,1,808.944519,512.680481,87.251968,55.297218,85,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
145,1.600220,1.600220,1,431.403381,756.416687,46.530746,81.586365,130,1,810.105713,513.250610,87.377213,55.358711,82,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
